EMPLEADO,C,46;ZONARUTA,C,5;NOMBRE,C,20;ORDCOB,N,4,0;RAZONSOC,C,35;DIRECCION,C,30;CODIGOCLI,C,8;FORMAPAG,C,1;NUMEROF,N,8,0;FECHAMOV,D;ENTREGAS,N,5,0;DEVOLUCION,N,5,0;FALTANTES,N,5,0;VALORUNITA,N,12,2;FEPAGO,D;CODIGOPU,C,3;NOMPU,C,15
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;37;MIGUEL ARBELAEZ -CARRO DULCES;CL 10# 5-10 ROMBOY VERLON;MIGARB01;C;;07/03/2011;6;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;37;MIGUEL ARBELAEZ -CARRO DULCES;CL 10# 5-10 ROMBOY VERLON;MIGARB01;C;;08/03/2011;6;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;37;MIGUEL ARBELAEZ -CARRO DULCES;CL 10# 5-10 ROMBOY VERLON;MIGARB01;C;;09/03/2011;6;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;13;DROGAS SUPERSERVICIO;CR 12 #47L 03 CARIBE;DRODRO01;C;;03/03/2011;12;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;13;DROGAS SUPERSERVICIO;CR 12 #47L 03 CARIBE;DRODRO01;C;;04/03/2011;12;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;13;DROGAS SUPERSERVICIO;CR 12 #47L 03 CARIBE;DRODRO01;C;;05/03/2011;20;;;800;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;13;DROGAS SUPERSERVICIO;CR 12 #47L 03 CARIBE;DRODRO01;C;;07/03/2011;12;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;13;DROGAS SUPERSERVICIO;CR 12 #47L 03 CARIBE;DRODRO01;C;;08/03/2011;12;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;13;DROGAS SUPERSERVICIO;CR 12 #47L 03 CARIBE;DRODRO01;C;;09/03/2011;12;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;20;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;C;;03/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;20;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;C;;04/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;20;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;C;;05/03/2011;8;;;800;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;20;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;C;;07/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;20;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;C;;08/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;20;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;C;;09/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;43;PANADERIA LA PASTORA;CL 12 #13 05;PANPAS02;C;;04/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;43;PANADERIA LA PASTORA;CL 12 #13 05;PANPAS02;C;;05/03/2011;8;;;800;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;43;PANADERIA LA PASTORA;CL 12 #13 05;PANPAS02;C;;07/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;43;PANADERIA LA PASTORA;CL 12 #13 05;PANPAS02;C;;08/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;43;PANADERIA LA PASTORA;CL 12 #13 05;PANPAS02;C;;09/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;6;QUESERA LA ARGENTINA;CR 20 #51 58;QUEARG01;C;;08/03/2011;8;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;6;QUESERA LA ARGENTINA;CR 20 #51 58;QUEARG01;C;;09/03/2011;8;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;25;TIENDA INESITA;CL 30 #16 64 SAN JOSE;TIEINE01;C;;02/03/2011;10;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;25;TIENDA INESITA;CL 30 #16 64 SAN JOSE;TIEINE01;C;;03/03/2011;10;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;25;TIENDA INESITA;CL 30 #16 64 SAN JOSE;TIEINE01;C;;04/03/2011;10;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;25;TIENDA INESITA;CL 30 #16 64 SAN JOSE;TIEINE01;C;;05/03/2011;10;;;800;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;25;TIENDA INESITA;CL 30 #16 64 SAN JOSE;TIEINE01;C;;07/03/2011;10;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;25;TIENDA INESITA;CL 30 #16 64 SAN JOSE;TIEINE01;C;;08/03/2011;10;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;25;TIENDA INESITA;CL 30 #16 64 SAN JOSE;TIEINE01;C;;09/03/2011;10;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;40;AUTOSERVICIO EL TRIGAL;CL 10 #9 40 CHIPRE;AUTTRI01;C;;04/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;40;AUTOSERVICIO EL TRIGAL;CL 10 #9 40 CHIPRE;AUTTRI01;C;;05/03/2011;10;;;800;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;40;AUTOSERVICIO EL TRIGAL;CL 10 #9 40 CHIPRE;AUTTRI01;C;;07/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;40;AUTOSERVICIO EL TRIGAL;CL 10 #9 40 CHIPRE;AUTTRI01;C;;08/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;40;AUTOSERVICIO EL TRIGAL;CL 10 #9 40 CHIPRE;AUTTRI01;C;;09/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;26;DROGUERIA LA 18;CL 27 # 17-59 ESQUINA;DRO1801;C;;03/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;26;DROGUERIA LA 18;CL 27 # 17-59 ESQUINA;DRO1801;C;;04/03/2011;7;;;525;;NDI;Q HUBO
